id,respond,gender,age,numpurchase,totdol,region,addresstype
648,0,1,41,2,251,1,urban
649,0,1,37,1,554,4,rural
650,0,1,37,1,69,2,urban
651,0,1,35,1,59,4,urban
652,0,0,35,1,69,2,rural
653,0,1,40,2,81,1,urban
654,0,0,28,4,561,1,urban
655,0,1,37,2,172,2,rural
656,0,0,39,6,2402,2,rural
657,1,1,35,1,51,5,urban
658,0,1,32,1,91,1,rural
659,0,1,33,2,65,4,urban
660,0,0,36,4,1057,4,urban
661,0,1,44,1,84,4,urban
662,0,1,38,2,56,2,urban
663,0,1,35,1,62,1,rural
664,0,1,47,1,55,4,urban
665,0,1,33,2,54,2,urban
666,0,1,36,1,79,2,rural
667,0,0,33,1,53,4,rural
668,0,0,33,1,74,1,urban
669,0,1,34,2,57,4,rural
670,1,1,43,2,274,2,urban
671,1,1,39,1,132,2,urban
672,0,1,43,2,76,1,urban
673,1,1,38,1,59,4,urban
674,0,1,41,3,753,1,urban
675,0,0,49,6,2076,2,urban
676,0,0,36,1,58,5,urban
677,0,1,37,2,419,1,rural
678,0,1,39,1,79,4,urban
679,0,1,32,2,224,5,urban
680,0,1,38,2,199,6,urban
681,0,1,38,1,60,4,urban
682,0,1,33,1,75,2,rural
683,0,1,35,1,58,5,urban
684,1,0,37,1,70,2,urban
685,0,1,35,1,74,5,urban
686,0,1,35,7,2731,4,urban
687,0,0,38,1,68,2,rural
688,0,1,37,4,457,2,rural
689,0,1,36,1,55,6,urban
690,0,0,38,1,268,2,urban
691,0,1,40,2,100,1,urban
692,0,0,40,1,52,4,urban
693,1,0,42,2,236,1,urban
694,0,1,34,1,56,1,urban
695,0,0,36,2,64,2,rural
696,0,1,31,1,56,4,urban
697,0,0,39,1,261,2,urban
698,0,1,38,3,186,2,rural
699,0,0,47,2,53,5,urban
700,0,1,37,1,65,4,urban
701,0,1,43,1,52,5,urban
702,0,1,39,2,1064,4,urban
703,0,0,41,3,487,4,urban
704,1,0,41,1,180,1,urban
705,0,1,39,1,51,2,rural
706,0,1,43,2,58,2,rural
707,0,1,41,1,71,1,urban
708,0,1,40,2,124,4,urban
709,0,1,40,2,67,4,urban
710,1,1,45,1,59,4,rural
711,1,1,30,1,59,1,urban
712,0,1,39,1,212,6,urban
713,0,1,38,1,58,1,rural
714,0,1,54,1,241,2,urban
715,0,1,30,1,73,4,rural
716,1,0,43,3,73,1,rural
717,0,1,40,1,58,4,rural
718,1,1,39,2,335,6,urban
719,0,1,62,1,281,4,urban
720,0,0,44,1,62,4,rural
721,0,0,38,1,86,5,rural
722,0,1,35,1,68,2,urban
723,0,1,37,2,55,1,urban
724,0,1,38,1,58,1,rural
725,0,0,37,1,84,6,urban
726,0,1,40,2,156,2,urban
727,0,0,40,1,130,1,urban
728,0,0,37,2,373,5,urban
729,0,0,36,1,60,4,urban
730,1,0,41,2,52,4,urban
731,0,0,41,2,175,6,urban
732,0,1,38,1,54,2,urban
733,0,1,34,5,1350,1,urban
734,0,0,31,1,150,1,urban
735,0,1,37,2,118,6,urban
736,0,1,39,2,698,6,rural
737,0,0,39,1,277,1,urban
738,0,1,37,1,58,3,urban
739,0,1,36,1,484,4,rural
740,0,1,43,1,62,2,urban
741,0,0,40,4,302,4,rural
742,0,1,40,1,90,6,rural
743,0,0,33,1,52,1,urban
744,0,0,26,2,79,4,rural
745,0,1,36,2,973,4,urban
746,0,0,34,1,56,2,rural
747,0,1,38,1,63,4,urban
748,1,1,39,5,2216,2,urban
749,0,0,42,1,60,5,urban
750,0,1,32,1,68,6,urban
751,0,1,43,1,61,4,rural
752,0,1,46,7,3025,4,urban
753,0,1,45,3,1126,5,urban
754,0,0,37,2,939,4,urban
755,0,0,33,1,250,6,urban
756,0,1,34,2,51,1,rural
757,0,1,39,2,54,1,rural
758,0,0,42,1,80,5,urban
759,0,0,40,1,58,5,rural
760,0,1,44,2,88,1,urban
761,0,1,43,3,210,4,rural
762,0,1,43,1,51,5,rural
763,0,1,35,2,274,1,urban
764,0,0,38,1,59,6,urban
765,0,1,38,1,55,2,rural
766,0,0,37,2,65,4,rural
767,0,1,35,1,56,2,urban
768,0,1,32,1,55,4,urban
769,1,1,39,2,441,2,rural
770,0,1,39,2,134,6,urban
771,0,0,33,1,68,3,rural
772,0,1,41,2,69,1,rural
773,0,1,40,1,66,4,urban
774,0,0,43,2,205,4,urban
775,1,1,42,3,183,6,rural
776,0,0,42,2,194,1,urban
777,0,0,35,2,51,4,urban
778,0,1,38,2,141,5,urban
779,0,0,36,1,53,5,urban
780,0,0,37,1,63,4,rural
781,0,1,43,1,51,6,rural
782,1,1,34,1,60,4,urban
783,0,1,44,1,64,2,urban
784,0,1,31,2,55,2,urban
785,0,1,34,1,63,4,urban
786,0,1,37,3,260,1,rural
787,0,0,44,6,2297,2,urban
788,0,1,35,1,66,3,rural
789,0,1,44,3,710,2,urban
790,0,1,41,2,95,3,urban
791,0,0,37,2,65,5,rural
792,0,1,40,2,421,2,urban
793,1,1,34,1,61,1,urban
794,0,1,37,2,87,4,rural
795,0,0,43,2,176,1,urban
796,1,1,34,1,144,1,urban
797,0,1,36,1,67,4,urban
798,0,0,38,7,3046,5,urban
799,1,0,38,1,65,6,rural
800,0,1,36,1,52,6,urban
801,1,1,32,1,205,6,urban
802,0,0,44,1,56,3,rural
803,0,1,33,1,213,5,rural
804,0,1,39,2,58,1,rural
805,1,1,36,1,94,4,urban
806,0,0,37,2,129,4,rural
807,0,0,38,1,142,5,urban
808,0,1,44,1,76,4,rural
809,0,0,40,1,205,4,urban
810,0,0,39,1,388,4,rural
811,0,1,40,1,71,6,rural
812,0,0,39,2,51,6,rural
813,1,0,37,3,526,4,urban
